>pool1_scaffold242_1
1	535	+	2	1.312759	I:	D:
588	1232	-	3	1.339168	I:	D:
1538	4348	+	2	1.339443	I:	D:
4350	5285	-	3	1.340287	I:	D:
5640	6590	+	3	1.340549	I:	D:
6623	7378	-	2	1.334097	I:	D:
7682	9697	+	2	1.289578	I:	D:
9741	10631	-	3	1.325333	I:	D:
10788	11912	-	3	1.333330	I:	D:
11611	13971	+	1	1.182007	I:	D:
14037	14306	+	3	1.199508	I:	D:
14299	16374	+	1	1.204617	I:	D:
16549	18198	+	1	1.202536	I:	D:
18405	18770	+	3	1.209923	I:	D:
18798	19085	+	3	1.258138	I:	D:
19140	19421	+	3	1.168445	I:	D:
19434	19886	+	3	1.182752	I:	D:
20098	21501	+	1	1.192915	I:	D:
21588	22439	+	3	1.221362	I:	D:
22477	22953	-	1	1.241115	I:	D:
23001	23342	-	3	1.237490	I:	D:
23453	24439	-	2	1.240335	I:	D:
24489	24704	-	3	1.358620	I:	D:
24660	24965	+	3	1.346307	I:	D:
24987	26678	-	3	1.211578	I:	D:
26854	27330	-	1	1.229509	I:	D:
27438	27815	-	3	1.213916	I:	D:
27909	29135	+	3	1.202185	I:	D:
29252	30454	+	2	1.167321	I:	D:
30538	31992	+	1	1.208583	I:	D:
31989	32555	+	3	1.213703	I:	D:
32621	33859	+	2	1.191730	I:	D:
33856	34107	+	1	1.205597	I:	D:
34110	34583	+	3	1.209376	I:	D:
34700	35680	+	2	1.202550	I:	D:
35766	36344	-	3	1.182490	I:	D:
36442	37050	+	1	1.168100	I:	D:
